team,season,games,points_allowed,def_sacks,def_interceptions,def_fumbles_forced,def_tds,def_safeties,def_pass_defended,def_tackles_for_loss,source
HOU,2002,16,356,39,10,11,5,4,112,73,nflverse
IND,2002,16,313,37,10,26,6,0,76,63,nflverse
JAC,2002,8,315,17,6,8,0,1,42,31,nflverse
KC,2002,16,399,34,18,14,0,0,73,61,nflverse
MIA,2002,16,301,47,21,15,1,0,78,60,nflverse
MIN,2002,16,442,27,16,5,1,1,54,68,nflverse
NE,2002,16,346,34,18,16,3,0,78,49,nflverse
NO,2002,16,388,39,20,22,1,0,107,72,nflverse
NYG,2002,16,279,37,11,14,1,0,69,66,nflverse
NYJ,2002,16,336,32,17,14,4,0,88,52,nflverse
OAK,2002,16,304,43,21,11,0,0,97,79,nflverse
PHI,2002,16,241,61,15,30,5,0,106,99,nflverse
PIT,2002,16,345,52,20,13,6,0,102,74,nflverse
SD,2002,16,367,39,17,13,0,1,79,73,nflverse
SEA,2002,16,369,28,19,17,1,0,89,58,nflverse
SF,2002,16,351,32,19,15,1,0,90,58,nflverse
STL,2002,16,369,38,12,25,0,0,71,66,nflverse
TB,2002,16,196,43,31,18,4,2,102,63,nflverse
TEN,2002,16,324,40,18,15,5,0,88,70,nflverse
WAS,2002,16,365,42,17,20,3,1,93,97,nflverse
ARI,2003,16,452,20,13,14,1,0,70,0,nflverse
ATL,2003,16,422,36,15,23,3,0,56,0,nflverse
BAL,2003,16,281,48,24,23,4,0,104,0,nflverse
BUF,2003,16,279,38,10,15,2,3,72,0,nflverse
CAR,2003,16,304,38,16,14,3,1,81,0,nflverse
CHI,2003,16,346,19,15,13,1,0,77,0,nflverse
CIN,2003,16,384,30,14,16,0,0,74,0,nflverse
CLE,2003,16,322,34,15,14,1,0,70,0,nflverse
DAL,2003,16,260,34,13,19,2,2,94,0,nflverse
DEN,2003,16,301,35,9,18,1,1,95,0,nflverse
DET,2003,16,379,27,15,18,1,0,66,0,nflverse
GB,2003,16,307,34,21,17,2,0,92,0,nflverse
HOU,2003,16,380,19,14,11,1,0,108,0,nflverse
IND,2003,16,336,30,15,24,2,0,70,0,nflverse
JAX,2003,16,331,23,15,15,0,0,77,0,nflverse
KC,2003,16,332,36,25,15,3,0,80,0,nflverse
LA,2003,16,328,42,24,25,3,1,85,0,nflverse
LAC,2003,16,441,31,13,15,1,0,68,0,nflverse
LV,2003,16,379,25,14,12,2,1,56,0,nflverse
MIA,2003,16,261,45,22,18,2,1,77,0,nflverse
MIN,2003,16,353,37,28,19,4,2,90,0,nflverse
NE,2003,16,238,40,29,19,5,1,121,0,nflverse
NO,2003,16,326,31,14,20,2,1,102,0,nflverse
NYG,2003,16,387,45,10,21,2,0,71,0,nflverse
NYJ,2003,16,299,33,11,11,0,1,66,0,nflverse
PHI,2003,16,287,36,13,17,1,1,98,0,nflverse
PIT,2003,16,327,34,14,11,2,0,76,0,nflverse
SEA,2003,16,327,42,16,12,0,1,89,0,nflverse
SF,2003,16,337,42,23,15,1,1,90,0,nflverse
TB,2003,16,264,35,20,23,3,1,75,0,nflverse
TEN,2003,16,324,38,22,13,3,1,84,0,nflverse
WAS,2003,16,372,26,17,16,0,1,72,0,nflverse
ARI,2004,16,322,37,15,20,1,1,94,0,nflverse
