team,season,games,points_allowed,def_sacks,def_interceptions,def_fumbles_forced,def_tds,def_safeties,def_pass_defended,def_tackles_for_loss,source
LAC,2013,16,348,34,11,11,1,0,67,57,nflverse
LV,2013,16,453,38,9,19,1,0,40,75,nflverse
MIA,2013,16,335,42,18,10,2,1,78,63,nflverse
MIN,2013,16,480,41,12,12,0,0,60,82,nflverse
NE,2013,16,338,47,17,11,2,0,78,66,nflverse
NO,2013,16,304,49,12,13,0,0,68,75,nflverse
NYG,2013,16,383,33,17,15,2,0,80,61,nflverse
NYJ,2013,16,387,40,13,10,1,1,62,83,nflverse
PHI,2013,16,382,37,19,13,1,2,96,70,nflverse
PIT,2013,16,370,34,10,16,3,1,70,56,nflverse
SEA,2013,16,231,43,28,17,3,2,91,66,nflverse
SF,2013,16,272,38,18,12,2,1,82,68,nflverse
TB,2013,16,389,35,21,15,3,1,73,72,nflverse
TEN,2013,16,381,36,13,14,1,0,86,66,nflverse
WAS,2013,16,478,36,16,12,4,0,62,67,nflverse
ARI,2014,16,299,35,18,9,3,0,62,82,nflverse
ATL,2014,16,417,22,16,13,1,0,66,55,nflverse
BAL,2014,16,302,49,11,16,1,1,75,74,nflverse
BUF,2014,16,289,54,19,14,0,1,75,88,nflverse
CAR,2014,16,374,40,14,22,2,0,73,64,nflverse
CHI,2014,16,442,39,14,18,1,0,53,66,nflverse
CIN,2014,16,344,20,20,7,1,3,96,60,nflverse
CLE,2014,16,337,30,21,15,2,1,96,62,nflverse
DAL,2014,16,352,27,18,15,2,0,71,59,nflverse
DEN,2014,16,354,41,18,15,2,1,91,80,nflverse
DET,2014,16,282,42,20,11,1,1,75,100,nflverse
GB,2014,16,348,41,18,12,3,1,88,65,nflverse
HOU,2014,16,307,38,20,17,4,1,94,72,nflverse
IND,2014,16,369,40,12,21,1,0,75,73,nflverse
JAX,2014,16,412,45,6,19,1,1,47,82,nflverse
KC,2014,16,281,46,6,13,1,0,74,67,nflverse
LA,2014,16,354,40,13,17,3,0,63,86,nflverse
LAC,2014,16,348,26,7,16,0,1,55,60,nflverse
LV,2014,16,452,22,9,12,0,0,58,74,nflverse
MIA,2014,16,373,39,14,13,2,3,54,74,nflverse
MIN,2014,16,343,41,13,9,2,0,61,67,nflverse
NE,2014,16,313,40,16,15,0,0,66,66,nflverse
NO,2014,16,424,34,12,11,0,2,57,63,nflverse
NYG,2014,16,400,47,17,15,0,0,75,64,nflverse
NYJ,2014,16,401,45,6,9,0,1,56,61,nflverse
PHI,2014,16,400,49,12,24,2,0,82,91,nflverse
PIT,2014,16,368,33,11,12,4,1,54,57,nflverse
SEA,2014,16,254,36,13,18,2,1,65,80,nflverse
SF,2014,16,340,35,23,10,2,0,83,73,nflverse
TB,2014,16,410,36,14,16,3,0,64,84,nflverse
TEN,2014,16,438,39,12,5,1,1,69,88,nflverse
WAS,2014,16,438,36,7,14,0,0,48,65,nflverse
ARI,2015,16,313,35,19,22,4,2,69,86,nflverse
ATL,2015,16,345,19,15,12,1,0,61,46,nflverse
BAL,2015,16,401,37,6,8,1,0,65,79,nflverse
BUF,2015,16,359,21,17,9,2,1,93,45,nflverse
CAR,2015,16,308,44,24,22,4,0,84,86,nflverse
CHI,2015,16,397,35,8,6,0,0,53,56,nflverse
CIN,2015,16,279,42,21,10,1,0,87,71,nflverse
CLE,2015,16,432,29,11,14,2,0,54,62,nflverse
DAL,2015,16,374,31,8,6,1,1,54,69,nflverse
DEN,2015,16,296,52,14,22,4,1,83,86,nflverse
DET,2015,16,400,43,9,17,1,2,62,94,nflverse
GB,2015,16,323,43,16,12,2,0,72,79,nflverse
HOU,2015,16,313,45,14,12,2,0,90,78,nflverse
IND,2015,16,408,35,17,13,4,1,77,72,nflverse
JAX,2015,16,448,36,9,14,1,0,73,82,nflverse
KC,2015,16,287,47,22,13,4,1,93,77,nflverse
LA,2015,16,330,41,13,20,1,1,71,97,nflverse
LAC,2015,16,398,32,11,11,1,0,62,67,nflverse
LV,2015,16,399,38,14,14,1,2,90,82,nflverse
MIA,2015,16,389,31,13,8,3,0,71,88,nflverse
MIN,2015,16,302,43,13,11,2,0,65,69,nflverse
NE,2015,16,315,49,12,22,0,1,85,71,nflverse
NO,2015,16,476,30,9,18,0,0,69,54,nflverse
NYG,2015,16,442,23,15,18,2,1,87,50,nflverse
NYJ,2015,16,314,38,18,15,0,0,77,57,nflverse
PHI,2015,16,430,37,15,18,3,1,82,77,nflverse
PIT,2015,16,319,47,17,16,2,0,81,81,nflverse
SEA,2015,16,277,37,14,18,0,0,75,71,nflverse
SF,2015,16,387,28,9,5,1,0,58,59,nflverse
TB,2015,16,417,38,11,19,1,0,66,71,nflverse
TEN,2015,16,423,39,11,11,1,0,58,64,nflverse
WAS,2015,16,379,37,11,22,1,1,60,57,nflverse
ARI,2016,16,362,46,14,21,2,2,68,103,nflverse
ATL,2016,16,406,34,12,17,3,0,89,58,nflverse
BAL,2016,16,321,31,18,14,0,0,71,70,nflverse
BUF,2016,16,378,39,12,11,1,0,74,59,nflverse
CAR,2016,16,402,47,17,18,1,1,70,73,nflverse
CHI,2016,16,399,37,8,11,1,1,70,62,nflverse
CIN,2016,16,315,33,17,6,0,1,85,57,nflverse
CLE,2016,16,452,26,10,6,1,0,67,52,nflverse
DAL,2016,16,306,34,9,18,0,0,64,77,nflverse
DEN,2016,16,297,41,14,16,3,0,83,51,nflverse
DET,2016,16,358,26,10,8,1,2,63,55,nflverse
GB,2016,16,388,39,17,9,0,0,88,75,nflverse
HOU,2016,16,328,31,11,7,1,1,70,61,nflverse
IND,2016,16,392,33,8,15,0,0,60,50,nflverse
JAX,2016,16,400,33,7,10,1,0,55,78,nflverse
KC,2016,16,311,27,18,16,4,1,104,65,nflverse
LA,2016,16,394,31,10,12,0,0,73,82,nflverse
LAC,2016,16,423,35,18,14,3,1,86,86,nflverse
LV,2016,16,385,25,16,20,1,0,73,47,nflverse
MIA,2016,16,380,32,16,16,1,0,75,63,nflverse
MIN,2016,16,307,41,14,13,2,1,59,63,nflverse
NE,2016,16,250,34,13,16,0,3,72,50,nflverse
NO,2016,16,454,30,9,11,0,1,67,56,nflverse
NYG,2016,16,284,35,17,15,1,0,101,63,nflverse
NYJ,2016,16,409,27,8,14,0,0,54,71,nflverse
PHI,2016,16,331,33,16,15,3,1,77,71,nflverse
PIT,2016,16,327,38,13,16,0,1,80,76,nflverse
SEA,2016,16,292,42,11,16,0,1,70,73,nflverse
SF,2016,16,480,31,10,15,0,1,73,60,nflverse
TB,2016,16,369,38,17,16,4,1,87,68,nflverse
TEN,2016,16,378,39,12,4,0,0,76,68,nflverse
WAS,2016,16,383,38,13,17,0,0,75,72,nflverse
ARI,2017,16,361,37,15,17,1,0,74,84,nflverse
ATL,2017,16,315,39,8,12,0,0,65,73,nflverse
BAL,2017,16,303,41,22,16,3,0,83,90,nflverse
BUF,2017,16,359,26,18,16,1,0,82,70,nflverse
CAR,2017,16,327,50,10,15,0,0,56,69,nflverse
CHI,2017,16,320,42,8,14,2,1,69,72,nflverse
CIN,2017,16,349,41,11,4,3,0,73,82,nflverse
CLE,2017,16,410,34,7,14,1,0,73,93,nflverse
DAL,2017,16,332,38,10,20,1,0,64,89,nflverse
DEN,2017,16,382,33,10,8,2,0,62,75,nflverse
DET,2017,16,376,35,19,16,3,0,79,76,nflverse
GB,2017,16,384,37,11,10,1,0,64,78,nflverse
HOU,2017,16,436,32,11,13,2,1,58,79,nflverse
IND,2017,16,404,25,13,11,1,2,69,66,nflverse
JAX,2017,16,268,55,21,17,2,0,81,81,nflverse
KC,2017,16,339,31,16,12,0,0,86,71,nflverse
LA,2017,16,329,48,18,17,3,2,96,72,nflverse
LAC,2017,16,272,43,18,13,2,0,79,74,nflverse
LV,2017,16,373,31,5,12,0,0,56,64,nflverse
MIA,2017,16,393,30,9,9,1,2,57,68,nflverse
MIN,2017,16,252,36,14,8,1,1,71,77,nflverse
NE,2017,16,296,41,12,9,0,2,67,62,nflverse
NO,2017,16,326,42,20,17,2,0,102,77,nflverse
NYG,2017,16,388,27,13,12,2,1,73,55,nflverse
NYJ,2017,16,382,28,11,9,0,0,62,69,nflverse
PHI,2017,16,295,38,19,14,1,0,92,80,nflverse
PIT,2017,16,308,56,16,12,0,1,80,91,nflverse
SEA,2017,16,332,39,14,13,3,2,78,76,nflverse
SF,2017,16,383,30,10,17,1,0,58,66,nflverse
TB,2017,16,382,22,13,18,1,0,56,58,nflverse
TEN,2017,16,356,42,12,11,0,0,74,64,nflverse
WAS,2017,16,388,41,16,12,2,0,90,61,nflverse
ARI,2018,16,425,49,7,13,0,0,52,85,nflverse
ATL,2018,16,423,37,15,8,1,0,72,54,nflverse
BAL,2018,16,287,42,12,9,0,0,89,85,nflverse
BUF,2018,16,374,36,16,20,0,1,73,76,nflverse
CAR,2018,16,382,34,13,13,0,0,71,76,nflverse
CHI,2018,16,283,50,27,18,5,1,98,82,nflverse
CIN,2018,16,455,34,12,10,3,0,75,61,nflverse
CLE,2018,16,392,37,17,18,0,1,78,72,nflverse
DAL,2018,16,324,39,9,14,0,0,66,65,nflverse
DEN,2018,16,349,43,17,13,2,0,82,67,nflverse
DET,2018,16,360,43,7,10,2,0,48,66,nflverse
GB,2018,16,400,42,7,10,1,0,59,71,nflverse
HOU,2018,16,316,43,15,20,3,0,90,78,nflverse
IND,2018,16,344,38,15,15,0,0,61,72,nflverse
JAX,2018,16,316,37,11,7,2,2,52,66,nflverse
KC,2018,16,421,52,15,23,3,0,64,67,nflverse
LA,2018,16,384,41,18,13,3,2,68,68,nflverse
LAC,2018,16,329,38,13,7,1,0,73,64,nflverse
LV,2018,16,467,13,14,5,1,0,73,48,nflverse
MIA,2018,16,433,30,21,11,3,0,59,64,nflverse
MIN,2018,16,341,50,12,8,1,0,63,84,nflverse
NE,2018,16,325,30,18,14,1,0,67,51,nflverse
NO,2018,16,353,49,12,19,1,0,69,81,nflverse
NYG,2018,16,412,30,16,11,3,0,76,59,nflverse
NYJ,2018,16,441,39,13,13,3,0,76,74,nflverse
PHI,2018,16,348,44,10,12,0,0,68,82,nflverse
PIT,2018,16,360,51,8,13,2,2,69,70,nflverse
SEA,2018,16,347,40,12,18,1,0,64,66,nflverse
SF,2018,16,435,36,2,11,1,1,39,72,nflverse
TB,2018,16,464,38,9,12,0,0,56,79,nflverse
TEN,2018,16,303,39,11,12,2,0,64,59,nflverse
WAS,2018,16,359,46,15,19,0,0,60,63,nflverse
ARI,2019,16,442,40,7,19,0,0,56,81,nflverse
ATL,2019,16,399,28,12,17,1,0,57,63,nflverse
BAL,2019,16,282,37,13,15,2,1,71,66,nflverse
BUF,2019,16,259,44,14,16,0,1,83,84,nflverse
CAR,2019,16,470,53,14,8,0,2,67,72,nflverse
CHI,2019,16,298,32,10,12,1,1,67,52,nflverse
CIN,2019,16,420,31,11,9,0,1,58,58,nflverse
CLE,2019,16,393,38,14,12,1,0,64,74,nflverse
DAL,2019,16,321,39,7,14,0,0,71,74,nflverse
DEN,2019,16,316,40,10,9,0,0,70,73,nflverse
DET,2019,16,423,28,7,16,0,0,73,41,nflverse
GB,2019,16,313,41,17,12,0,0,74,59,nflverse
HOU,2019,16,385,31,12,14,2,0,75,48,nflverse
IND,2019,16,373,41,15,14,1,2,50,62,nflverse
JAX,2019,16,397,46,10,13,1,0,60,76,nflverse
KC,2019,16,308,45,16,13,1,0,65,65,nflverse
LA,2019,16,364,50,13,15,2,1,76,70,nflverse
LAC,2019,16,345,29,11,6,0,0,45,65,nflverse
LV,2019,16,419,32,9,9,2,0,67,68,nflverse
MIA,2019,16,494,23,13,9,1,1,66,44,nflverse
MIN,2019,16,303,48,17,19,1,1,83,81,nflverse
NE,2019,16,225,47,25,15,3,1,89,49,nflverse
NO,2019,16,341,50,13,11,2,1,78,76,nflverse
NYG,2019,16,451,36,10,9,1,1,65,68,nflverse
NYJ,2019,16,359,35,12,10,3,2,67,91,nflverse
PHI,2019,16,354,43,11,15,1,0,82,76,nflverse
PIT,2019,16,303,53,20,22,1,0,83,78,nflverse
SEA,2019,16,398,28,16,20,2,0,74,45,nflverse
SF,2019,16,310,48,12,23,3,0,75,77,nflverse
TB,2019,16,449,47,12,21,2,0,96,82,nflverse
TEN,2019,16,331,42,14,11,1,1,72,60,nflverse
WAS,2019,16,435,46,13,16,0,0,52,73,nflverse
ARI,2020,16,367,48,11,15,0,1,57,80,nflverse
ATL,2020,16,414,29,12,17,1,0,51,53,nflverse
BAL,2020,16,303,39,10,25,0,2,67,62,nflverse
BUF,2020,16,375,38,15,15,2,0,76,58,nflverse
CAR,2020,16,402,29,7,14,0,0,58,51,nflverse
CHI,2020,16,370,35,10,15,0,1,71,58,nflverse
CIN,2020,16,424,17,11,10,0,0,80,43,nflverse
CLE,2020,16,419,38,11,17,2,2,74,48,nflverse
DAL,2020,16,473,31,10,16,0,0,46,49,nflverse
DEN,2020,16,446,42,10,12,0,0,64,61,nflverse
DET,2020,16,519,24,7,15,0,1,51,53,nflverse
GB,2020,16,369,41,11,12,1,1,74,53,nflverse
HOU,2020,16,464,33,3,9,1,0,50,59,nflverse
IND,2020,16,362,40,15,14,4,3,78,64,nflverse
JAX,2020,16,492,18,12,12,1,0,60,51,nflverse
KC,2020,16,362,32,16,13,2,1,64,41,nflverse
LA,2020,16,296,53,14,12,3,1,68,65,nflverse
LAC,2020,16,426,27,12,6,2,1,54,51,nflverse
LV,2020,16,478,21,10,8,0,0,74,50,nflverse
MIA,2020,16,338,41,18,16,0,0,76,62,nflverse
MIN,2020,16,475,23,15,11,0,1,56,45,nflverse
NE,2020,16,353,24,18,5,1,0,52,38,nflverse
NO,2020,16,337,44,18,7,1,1,84,74,nflverse
NYG,2020,16,357,40,11,14,1,0,75,63,nflverse
NYJ,2020,16,457,31,10,17,1,1,67,59,nflverse
PHI,2020,16,418,49,8,14,1,1,43,82,nflverse
PIT,2020,16,312,56,18,13,3,1,84,93,nflverse
SEA,2020,16,371,46,14,14,0,3,80,84,nflverse
SF,2020,16,390,30,12,13,1,0,62,58,nflverse
TB,2020,16,355,48,15,15,1,1,70,84,nflverse
TEN,2020,16,439,19,15,12,0,0,81,50,nflverse
WAS,2020,16,329,46,16,14,2,1,66,73,nflverse
ARI,2021,17,366,40,13,21,1,0,73,64,nflverse
ATL,2021,17,459,17,12,14,2,1,77,44,nflverse
BAL,2021,17,392,33,9,8,1,0,72,60,nflverse
BUF,2021,17,289,41,19,12,1,0,80,71,nflverse
CAR,2021,17,404,39,9,14,0,1,52,69,nflverse
CHI,2021,17,407,49,8,14,1,1,56,71,nflverse
CIN,2021,17,376,41,13,17,1,0,63,73,nflverse
CLE,2021,17,371,43,13,12,1,0,79,65,nflverse
DAL,2021,17,358,41,26,13,5,0,83,61,nflverse
DEN,2021,17,322,36,13,6,1,0,73,58,nflverse
DET,2021,17,467,30,11,10,0,0,68,51,nflverse
GB,2021,17,371,38,18,10,2,0,74,46,nflverse
HOU,2021,17,452,32,17,16,1,1,64,67,nflverse
IND,2021,17,365,33,19,18,0,1,69,55,nflverse
JAX,2021,17,457,32,7,9,0,0,50,55,nflverse
KC,2021,17,364,31,15,18,2,0,69,42,nflverse
LA,2021,17,372,50,19,15,0,0,72,75,nflverse
LAC,2021,17,459,35,11,19,0,0,56,55,nflverse
LV,2021,17,439,35,6,13,0,1,74,53,nflverse
MIA,2021,17,373,47,14,14,3,0,91,60,nflverse
MIN,2021,17,426,51,16,13,2,0,68,55,nflverse
NE,2021,17,303,36,23,10,3,0,89,50,nflverse
NO,2021,17,335,46,18,13,2,0,81,76,nflverse
NYG,2021,17,416,34,15,12,1,1,83,47,nflverse
NYJ,2021,17,504,31,7,13,1,0,61,55,nflverse
PHI,2021,17,385,29,12,13,2,0,56,62,nflverse
PIT,2021,17,398,55,13,18,0,0,80,85,nflverse
SEA,2021,17,366,33,11,9,0,1,80,52,nflverse
SF,2021,17,365,48,9,22,2,0,55,83,nflverse
TB,2021,17,353,47,17,16,2,0,85,73,nflverse
TEN,2021,17,354,42,16,13,2,0,83,62,nflverse
WAS,2021,17,434,37,11,9,2,0,61,54,nflverse
ARI,2022,17,449,36,11,12,3,0,77,71,nflverse
ATL,2022,17,386,21,10,8,1,1,69,48,nflverse
BAL,2022,17,315,48,14,14,0,0,77,68,nflverse
BUF,2022,16,286,40,17,11,1,2,90,80,nflverse
CAR,2022,17,374,35,10,9,2,0,62,74,nflverse
CHI,2022,17,463,20,14,14,0,0,50,50,nflverse
CIN,2022,16,322,30,13,14,0,0,75,47,nflverse
CLE,2022,17,381,34,11,11,1,0,85,59,nflverse
DAL,2022,17,342,54,16,22,0,0,59,77,nflverse
DEN,2022,17,359,36,15,16,0,1,67,56,nflverse
DET,2022,17,427,39,12,14,1,1,62,59,nflverse
GB,2022,17,371,34,17,12,2,1,63,55,nflverse
HOU,2022,17,420,39,16,14,1,1,65,69,nflverse
IND,2022,17,427,44,10,14,2,0,62,80,nflverse
JAX,2022,17,350,35,14,17,2,0,95,65,nflverse
KC,2022,17,369,55,11,12,2,1,85,76,nflverse
LA,2022,17,384,38,16,10,1,0,58,59,nflverse
LAC,2022,17,384,40,14,15,1,1,64,65,nflverse
LV,2022,17,418,27,6,10,1,0,55,57,nflverse
MIA,2022,17,399,40,8,13,0,1,71,64,nflverse
MIN,2022,17,427,38,15,11,0,0,87,66,nflverse
NE,2022,17,347,53,19,13,5,0,69,62,nflverse
NO,2022,17,345,48,7,13,1,0,67,63,nflverse
NYG,2022,17,371,40,6,20,1,0,75,62,nflverse
NYJ,2022,17,316,44,12,11,0,2,73,68,nflverse
PHI,2022,17,344,69,17,15,2,0,85,88,nflverse
PIT,2022,17,346,40,20,9,1,0,82,56,nflverse
SEA,2022,17,401,44,14,18,1,0,81,64,nflverse
SF,2022,17,277,44,20,16,2,0,78,66,nflverse
TB,2022,17,358,44,10,12,1,0,59,76,nflverse
TEN,2022,17,359,39,14,11,1,0,78,60,nflverse
WAS,2022,17,343,43,9,8,2,1,68,79,nflverse
ARI,2023,17,455,33,11,6,0,0,66,64,nflverse
ATL,2023,17,373,42,8,19,1,1,66,56,nflverse
BAL,2023,17,280,58,18,16,1,1,92,77,nflverse
BUF,2023,17,311,53,18,14,2,0,79,80,nflverse
CAR,2023,17,416,27,8,5,2,0,64,55,nflverse
CHI,2023,17,379,30,22,13,2,0,83,57,nflverse
CIN,2023,17,384,44,17,11,1,0,74,60,nflverse
CLE,2023,17,362,48,18,14,2,0,92,88,nflverse
DAL,2023,17,315,45,17,14,5,1,74,73,nflverse
DEN,2023,17,413,42,11,19,0,1,62,58,nflverse
DET,2023,17,395,41,16,13,1,1,79,68,nflverse
GB,2023,17,350,45,7,10,1,0,68,64,nflverse
HOU,2023,17,353,44,14,15,0,0,70,82,nflverse
IND,2023,17,415,51,15,17,3,1,69,76,nflverse
JAX,2023,17,371,40,16,12,2,0,84,61,nflverse
KC,2023,17,294,57,8,15,0,0,72,75,nflverse
LA,2023,17,377,41,10,7,0,2,76,65,nflverse
LAC,2023,17,398,48,9,15,0,0,83,70,nflverse
LV,2023,17,331,46,13,14,3,1,56,69,nflverse
MIA,2023,17,391,56,15,15,4,0,81,70,nflverse
MIN,2023,17,362,43,11,22,0,0,67,57,nflverse
NE,2023,17,366,36,10,15,0,1,66,64,nflverse
NO,2023,17,327,34,18,8,1,0,99,62,nflverse
NYG,2023,17,407,34,18,19,3,0,81,64,nflverse
NYJ,2023,17,355,46,17,14,2,3,91,78,nflverse
PHI,2023,17,428,43,9,16,2,1,74,67,nflverse
PIT,2023,17,324,47,16,19,1,1,80,72,nflverse
SEA,2023,17,402,47,11,13,3,0,77,82,nflverse
SF,2023,17,298,48,22,10,1,1,84,69,nflverse
TB,2023,17,325,47,13,18,1,1,64,72,nflverse
TEN,2023,17,367,45,6,13,1,0,55,72,nflverse
WAS,2023,17,518,38,8,10,0,0,78,75,nflverse
ARI,2024,17,379,41,9,17,0,2,63,87,nflverse
ATL,2024,17,423,31,12,12,3,1,66,79,nflverse
BAL,2024,17,361,53,12,12,2,0,82,82,nflverse
BUF,2024,17,368,37,16,18,2,1,60,93,nflverse
CAR,2024,17,534,32,9,8,0,0,67,65,nflverse
CHI,2024,17,370,40,11,17,1,0,66,81,nflverse
CIN,2024,17,434,36,15,14,2,1,79,72,nflverse
CLE,2024,17,435,41,4,12,0,1,60,112,nflverse
DAL,2024,17,468,51,13,18,1,0,70,70,nflverse
DEN,2024,17,311,63,15,12,3,2,68,94,nflverse
DET,2024,17,342,37,16,13,1,0,81,70,nflverse
GB,2024,17,338,45,17,16,1,0,56,95,nflverse
HOU,2024,17,372,49,19,11,1,1,89,106,nflverse
IND,2024,17,427,36,16,18,0,0,57,88,nflverse
JAX,2024,17,435,34,6,5,0,0,74,82,nflverse
KC,2024,17,326,39,13,15,0,0,71,87,nflverse
LA,2024,17,386,38,13,10,2,1,73,72,nflverse
LAC,2024,17,301,45,15,8,1,0,87,77,nflverse
LV,2024,17,434,37,10,6,1,0,80,83,nflverse
MIA,2024,17,364,35,10,8,0,0,69,83,nflverse
MIN,2024,17,332,48,24,12,2,0,95,96,nflverse
NE,2024,17,417,28,7,14,0,0,73,63,nflverse
NO,2024,17,398,39,14,12,0,1,93,77,nflverse
NYG,2024,17,415,45,5,16,0,0,60,96,nflverse
NYJ,2024,17,404,42,7,14,0,0,56,89,nflverse
PHI,2024,17,303,41,13,22,1,0,90,81,nflverse
PIT,2024,17,347,40,17,22,0,0,78,84,nflverse
SEA,2024,17,368,44,13,14,2,1,74,74,nflverse
SF,2024,17,436,36,11,13,1,0,72,67,nflverse
TB,2024,17,385,46,7,16,0,1,61,81,nflverse
TEN,2024,17,460,32,11,10,0,2,53,92,nflverse
WAS,2024,17,391,43,7,16,1,0,59,86,nflverse
MIN,1969,14,133,0,0,0,0,0,0,0,legends
ATL,1977,14,129,0,0,0,0,0,0,0,legends
PIT,1976,14,138,0,0,0,0,0,0,0,legends
MIA,1972,14,171,0,0,0,0,0,0,0,legends
CHI,1963,14,144,0,0,0,0,0,0,0,legends
GB,1962,14,148,0,0,0,0,0,0,0,legends
DEN,1977,14,148,0,0,0,0,0,0,0,legends
PIT,1978,16,195,0,0,0,0,0,0,0,legends
CHI,1985,16,198,0,0,0,0,0,0,0,legends
NYG,1986,16,236,0,0,0,0,0,0,0,legends
NYG,1990,16,211,0,0,0,0,0,0,0,legends
PHI,1991,16,244,0,0,0,0,0,0,0,legends
GB,1996,16,210,0,0,0,0,0,0,0,legends
DAL,1992,16,243,0,0,0,0,0,0,0,legends
