player_name,position,team,season,games,fg_made,fg_att,fg_pct,fg_long,pat_made,pat_att,source
Graham Gano,K,CAR,2018,12,14,16,0.875,63,30,33,nflverse
Ryan Succop,K,TEN,2018,16,26,30,0.866666666666667,54,28,31,nflverse
Dan Bailey,K,MIN,2018,14,21,28,0.75,52,30,31,nflverse
Randy Bullock,K,CIN,2018,16,19,23,0.826086956521739,51,39,41,nflverse
Justin Tucker,K,BAL,2018,16,35,39,0.897435897435897,56,36,37,nflverse
Greg Zuerlein,K,LA,2018,11,27,31,0.870967741935484,56,35,36,nflverse
Brandon McManus,K,DEN,2018,16,20,25,0.8,53,35,35,nflverse
Dustin Hopkins,K,WAS,2018,16,26,29,0.896551724137931,56,25,26,nflverse
Brett Maher,K,DAL,2018,16,29,36,0.805555555555556,62,32,33,nflverse
Caleb Sturgis,K,LAC,2018,6,9,13,0.692307692307692,49,9,15,nflverse
Cody Parkey,K,CHI,2018,16,23,30,0.766666666666667,50,42,45,nflverse
Chandler Catanzaro,K,CAR,2018,13,16,20,0.8,59,30,35,nflverse
Chris Boswell,K,PIT,2018,15,13,20,0.65,50,43,48,nflverse
Cairo Santos,K,TB,2018,9,14,18,0.777777777777778,45,22,23,nflverse
Jason Myers,K,NYJ,2018,16,33,36,0.916666666666667,56,30,33,nflverse
Josh Lambo,K,JAX,2018,13,19,21,0.904761904761905,57,19,20,nflverse
Wil Lutz,K,NO,2018,16,28,30,0.933333333333333,54,52,53,nflverse
Ka'imi Fairbairn,K,HOU,2018,16,37,42,0.880952380952381,54,39,41,nflverse
Aldrick Rosas,K,NYG,2018,16,32,33,0.96969696969697,57,31,32,nflverse
Harrison Butker,K,KC,2018,16,24,27,0.888888888888889,54,65,69,nflverse
Jake Elliott,K,PHI,2018,16,26,31,0.838709677419355,56,33,35,nflverse
Zane Gonzalez,K,ARI,2018,7,9,14,0.642857142857143,55,8,11,nflverse
Mike Badgley,K,LAC,2018,10,15,16,0.9375,59,27,28,nflverse
Daniel Carlson,K,LV,2018,12,17,21,0.80952380952381,50,24,24,nflverse
Greg Joseph,K,CLE,2018,14,17,20,0.85,51,25,29,nflverse
Matt McCrane,K,PIT,2018,5,8,12,0.666666666666667,47,9,9,nflverse
Jason Sanders,K,MIA,2018,16,18,20,0.9,50,35,36,nflverse
Adam Vinatieri,K,IND,2019,12,17,25,0.68,55,22,28,nflverse
Matt Bryant,K,ATL,2019,7,9,14,0.642857142857143,52,14,15,nflverse
Robbie Gould,K,SF,2019,13,23,31,0.741935483870968,47,41,42,nflverse
Matt Prater,K,DET,2019,16,26,31,0.838709677419355,56,35,36,nflverse
Nick Folk,K,NE,2019,7,14,17,0.823529411764706,51,12,12,nflverse
Mason Crosby,K,GB,2019,16,22,24,0.916666666666667,54,40,41,nflverse
Steven Hauschka,K,BUF,2019,16,22,28,0.785714285714286,51,30,32,nflverse
Dan Bailey,K,MIN,2019,16,27,29,0.931034482758621,50,40,44,nflverse
Kai Forbath,K,DAL,2019,4,11,11,1,50,11,12,nflverse
Randy Bullock,K,CIN,2019,16,27,31,0.870967741935484,57,24,25,nflverse
Justin Tucker,K,BAL,2019,16,28,29,0.96551724137931,51,57,59,nflverse
Greg Zuerlein,K,LA,2019,16,24,33,0.727272727272727,58,42,42,nflverse
Brandon McManus,K,DEN,2019,16,29,34,0.852941176470588,53,25,26,nflverse
Dustin Hopkins,K,WAS,2019,16,25,30,0.833333333333333,53,21,22,nflverse
Brett Maher,K,DAL,2019,13,20,30,0.666666666666667,63,36,36,nflverse
Chris Boswell,K,PIT,2019,16,29,31,0.935483870967742,51,28,28,nflverse
Jason Myers,K,SEA,2019,16,23,28,0.821428571428571,54,40,44,nflverse
Josh Lambo,K,JAX,2019,16,33,34,0.970588235294118,56,19,20,nflverse
Wil Lutz,K,NO,2019,16,32,36,0.888888888888889,58,48,49,nflverse
Ka'imi Fairbairn,K,HOU,2019,16,20,25,0.8,54,40,45,nflverse
Aldrick Rosas,K,NYG,2019,16,12,17,0.705882352941177,45,35,39,nflverse
Sam Ficken,K,NYJ,2019,15,19,27,0.703703703703704,54,23,26,nflverse
Harrison Butker,K,KC,2019,16,34,38,0.894736842105263,56,45,48,nflverse
Younghoe Koo,K,ATL,2019,8,23,26,0.884615384615385,50,15,16,nflverse
Jake Elliott,K,PHI,2019,16,22,26,0.846153846153846,53,35,37,nflverse
Zane Gonzalez,K,ARI,2019,16,31,35,0.885714285714286,54,34,35,nflverse
Mike Badgley,K,LAC,2019,8,13,16,0.8125,49,19,19,nflverse
Daniel Carlson,K,LV,2019,16,19,26,0.730769230769231,48,34,36,nflverse
Eddy Pineiro,K,CHI,2019,16,23,28,0.821428571428571,53,27,29,nflverse
Jason Sanders,K,MIA,2019,16,23,30,0.766666666666667,54,29,30,nflverse
Austin Seibert,K,CLE,2019,16,25,29,0.862068965517241,53,30,35,nflverse
Joey Slye,K,CAR,2019,16,25,32,0.78125,55,31,35,nflverse
Matt Gay,K,TB,2019,16,27,35,0.771428571428571,58,43,48,nflverse
Chase McLaughlin,K,IND,2019,11,18,23,0.782608695652174,50,26,26,nflverse
Robbie Gould,K,SF,2020,15,19,23,0.826086956521739,52,36,38,nflverse
Matt Prater,K,DET,2020,16,21,28,0.75,59,38,41,nflverse
Stephen Gostkowski,K,TEN,2020,15,18,26,0.692307692307692,55,46,48,nflverse
Nick Folk,K,NE,2020,16,26,28,0.928571428571429,51,30,33,nflverse
Mason Crosby,K,GB,2020,16,16,16,1,57,59,63,nflverse
Graham Gano,K,NYG,2020,16,31,32,0.96875,55,21,23,nflverse
Ryan Succop,K,TB,2020,16,28,31,0.903225806451613,50,52,57,nflverse
Dan Bailey,K,MIN,2020,16,15,22,0.681818181818182,53,37,43,nflverse
Randy Bullock,K,CIN,2020,12,21,26,0.807692307692308,55,24,25,nflverse
Justin Tucker,K,BAL,2020,16,26,29,0.896551724137931,55,52,53,nflverse
Greg Zuerlein,K,DAL,2020,16,34,41,0.829268292682927,59,33,36,nflverse
Brandon McManus,K,DEN,2020,15,28,34,0.823529411764706,58,24,27,nflverse
Dustin Hopkins,K,WAS,2020,16,27,34,0.794117647058824,51,30,32,nflverse
Cody Parkey,K,CLE,2020,15,19,22,0.863636363636364,46,43,47,nflverse
Chris Boswell,K,PIT,2020,13,19,20,0.95,59,34,38,nflverse
Cairo Santos,K,CHI,2020,16,30,32,0.9375,55,36,37,nflverse
Sergio Castillo,K,NYJ,2020,6,8,13,0.615384615384615,55,6,7,nflverse
Jason Myers,K,SEA,2020,16,24,24,1,61,49,53,nflverse
Wil Lutz,K,NO,2020,16,23,28,0.821428571428571,53,57,58,nflverse
Ka'imi Fairbairn,K,HOU,2020,16,27,31,0.870967741935484,54,37,40,nflverse
